아파트 이름,건축 연도,전용 면적 (㎡),층,거래 금액 (만원),거래 일자,주소,읍면동,평당 가격 (만원),면적 범주,읍면동_구미동,읍면동_금곡동,읍면동_대장동,읍면동_백현동,읍면동_분당동,읍면동_삼평동,읍면동_서현동,읍면동_수내동,읍면동_야탑동,읍면동_운중동,읍면동_이매동,읍면동_정자동,읍면동_판교동
양지마을(금호1),1992,164.25,23,205000,2024-01-11,경기 성남시분당구 수내로 34,수내동,1248.097412480974,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
이매촌(한신),1992,84.9,10,123000,2024-01-17,경기 성남시분당구 서현로 124,이매동,1448.7632508833922,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미마을(코오롱)1,1993,59.55,4,79500,2024-01-12,경기 성남시분당구 장미로 330,야탑동,1335.0125944584383,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
판교더샵포레스트12단지,2021,84.9864,11,110100,2024-01-07,경기 성남시분당구 판교대장로5길 641,대장동,1295.5013978707182,25~40평,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한솔마을(4단지)(주공),1994,35.28,5,55000,2024-01-20,경기 성남시분당구 백현로 102,정자동,1558.9569160997733,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
판교풍경채어바니티(7단지),2021,84.973,5,104000,2024-01-04,경기 성남시분당구 판교대장로 623,대장동,1223.9181857766584,25~40평,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
샛별마을(삼부),1992,128.09,14,141500,2024-01-13,경기 성남시분당구 수내로 39,분당동,1104.6920134280583,25~40평,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
양지마을(5단지)(한양501-514),1992,48.51,5,85000,2024-01-15,경기 성남시분당구 내정로165번길 24,수내동,1752.2160379303236,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
탑마을(선경)1,1992,83.73,11,104000,2024-01-04,경기 성남시 분당구 야탑로 536,야탑동,1242.087662725427,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
시범우성,1991,84.6,13,138250,2024-01-15,경기 성남시분당구 중앙공원로 96,서현동,1634.160756501182,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(1단지)(대림),1995,84.97,6,88000,2024-01-13,경기 성남시분당구 미금로 211,구미동,1035.6596445804403,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
하얀마을(5단지)(주공),1995,38.07,11,58800,2024-01-25,경기 성남시분당구 미금일로 110,구미동,1544.5232466509062,15평 이하,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(기산)1,1993,131.4,12,120000,2024-01-25,  양현로 511,야탑동,913.2420091324201,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미마을(동부),1993,59.76,7,80000,2024-01-13,경기 성남시 분당구 장미로 330,야탑동,1338.6880856760374,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
상록마을(우성)1,1994,129.72,13,190000,2024-01-14,경기 성남시분당구 내정로 121,정자동,1464.6931853222325,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미마을(코오롱)1,1993,84.6,3,105000,2024-01-12,경기 성남시분당구 장미로 330,야탑동,1241.1347517730496,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
탑마을(진덕),1993,131.4,5,133000,2024-01-11,경기 성남시 분당구 양현로 530,야탑동,1012.1765601217655,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
푸른마을(벽산),1992,84.72,18,129000,2024-01-19,경기 성남시분당구 수내로192번길 71,수내동,1522.6628895184135,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
